Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,49.38,51.15,49.38,50.98,50.49,1524100
2010-01-05,51.06,51.78,50.79,51.0,50.51,1666100
2010-01-06,51.0,52.37,50.56,51.89,51.39,2130300
2010-01-07,51.39,52.69,50.29,52.35,51.85,1491400
2010-01-08,51.6,53.35,51.38,53.25,52.74,1374800
2010-01-11,53.7,54.03,51.75,52.28,51.78,1214400
2010-01-12,51.29,51.99,50.76,51.14,50.65,1345700
2010-01-13,51.46,52.0,49.93,51.9,51.4,1302700
2010-01-14,51.69,52.7,51.51,52.53,52.02,794000
2010-01-15,52.28,52.68,50.19,50.53,50.04,2090300
2010-01-19,51.9,52.19,48.93,50.26,49.78,3115200
2010-01-20,49.26,49.77,48.56,49.53,49.05,1493000
2010-01-21,49.52,50.4,47.72,48.13,47.67,1556100
2010-01-22,47.82,48.22,46.44,46.53,46.08,1840800
2010-01-25,47.14,48.12,46.87,46.92,46.47,1276900
2010-01-26,46.44,47.52,45.8,45.94,45.5,1624500
2010-01-27,46.0,46.24,44.5,45.4,44.96,1968900
2010-01-28,45.71,46.09,43.88,45.23,44.79,1357000
2010-01-29,45.78,46.6,43.61,43.98,43.56,1933300
2010-02-01,44.57,45.93,44.55,45.84,45.4,1319100
2010-02-02,46.09,47.07,45.39,46.78,46.33,1666300
2010-02-03,46.65,47.54,45.58,45.87,45.43,1989900
2010-02-04,45.69,45.69,44.0,44.12,43.7,2793700
2010-02-05,44.11,44.16,41.88,43.62,43.2,2851800
2010-02-08,43.53,44.67,43.01,44.27,43.84,2495700
2010-02-09,45.28,46.85,44.86,46.31,45.86,2468800
2010-02-10,46.2,46.2,44.58,45.37,44.93,3295300
2010-02-11,45.3,47.45,45.11,47.33,46.87,1634600
2010-02-12,46.43,47.36,45.72,47.1,46.65,1603800
2010-02-16,47.79,48.89,47.79,48.8,48.33,1010700
2010-02-17,48.81,49.24,48.05,48.73,48.26,918900
2010-02-18,48.61,49.31,48.32,49.26,48.79,1306900
2010-02-19,47.84,49.64,47.84,49.49,49.01,1660300
2010-02-22,49.69,49.73,47.89,48.02,47.56,1979800
2010-02-23,47.91,48.25,46.07,46.18,45.74,2342300
2010-02-24,46.05,47.02,45.82,46.3,45.85,1868400
2010-02-25,45.56,46.83,44.57,46.67,46.22,1877600
2010-02-26,45.93,46.79,45.44,46.65,46.2,1729200
2010-03-01,46.93,47.59,46.74,47.15,46.7,1437900
2010-03-02,47.24,48.37,47.24,47.84,47.38,1541200
2010-03-03,48.01,48.95,47.89,48.0,47.54,1287400
2010-03-04,48.01,48.51,47.38,47.69,47.23,1290100
2010-03-05,48.29,49.15,48.11,48.98,48.51,1329300
2010-03-08,48.94,49.48,48.45,48.54,48.07,1282100
2010-03-09,48.31,49.8,48.07,49.43,48.95,1804800
2010-03-10,49.22,51.16,49.04,50.97,50.48,2757700
2010-03-11,50.74,51.32,50.25,51.09,50.6,1790000
2010-03-12,51.56,52.85,51.5,52.78,52.27,2565100
2010-03-15,52.41,52.57,51.14,52.1,51.6,1663900
2010-03-16,52.49,53.88,52.16,53.75,53.23,1715200
2010-03-17,54.02,54.49,53.13,53.29,52.78,1675900
2010-03-18,53.11,53.23,52.09,53.07,52.56,2541500
2010-03-19,53.03,53.38,51.84,53.03,52.52,2468300
2010-03-22,52.23,52.9,51.64,52.6,52.09,1299100
2010-03-23,52.04,54.15,52.04,53.79,53.27,1810500
2010-03-24,53.23,54.32,53.01,53.9,53.38,1484600
2010-03-25,54.53,55.0,53.19,53.36,52.85,1695900
2010-03-26,53.18,53.39,52.14,52.84,52.33,1683700
2010-03-29,53.3,54.45,53.17,54.42,53.94,914400
2010-03-30,54.43,54.86,53.61,54.73,54.24,901300
2010-03-31,54.46,56.88,54.46,56.32,55.82,1675500
2010-04-01,56.94,59.17,56.94,59.15,58.62,2004200
2010-04-05,59.63,61.44,59.36,61.4,60.85,2251000
2010-04-06,61.28,62.38,60.59,60.96,60.42,2272500
2010-04-07,61.02,61.23,59.16,59.58,59.05,2528500
2010-04-08,59.01,60.58,58.48,60.21,59.68,1531800
2010-04-09,60.91,61.62,60.24,60.99,60.45,1470000
2010-04-12,61.02,61.85,60.58,60.84,60.3,1940300
2010-04-13,61.73,62.46,60.31,62.02,61.47,3415300
2010-04-14,62.56,62.83,61.69,62.69,62.13,2051000
2010-04-15,62.71,63.37,62.24,62.39,61.84,1638200
2010-04-16,61.77,62.24,60.3,60.74,60.2,2456400
2010-04-19,60.21,61.55,59.74,61.4,60.85,1661900
2010-04-20,62.05,63.5,61.98,63.3,62.74,1538400
2010-04-21,63.01,63.63,62.41,63.28,62.72,1300700
2010-04-22,62.01,64.89,62.01,64.8,64.22,1594500
2010-04-23,64.51,66.24,64.07,66.09,65.5,1833200
2010-04-26,66.15,66.82,65.82,66.09,65.5,930600
2010-04-27,65.35,65.46,62.28,62.55,61.99,2166500
2010-04-28,63.2,63.45,61.54,63.14,62.58,1543700
2010-04-29,63.71,64.36,62.64,63.92,63.35,1415000
2010-04-30,64.15,66.15,63.74,64.13,63.56,1861600
2010-05-03,64.71,66.96,64.54,66.23,65.64,1631200
