Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,46.79,47.31,46.57,46.94,36.39,14570200
2010-01-05,47.52,48.32,47.5,48.07,37.27,24241000
2010-01-06,48.26,48.43,47.38,47.6,36.9,22743800
2010-01-07,47.75,49.02,47.55,48.98,37.97,25266300
2010-01-08,49.11,49.8,48.89,49.47,38.35,25938200
2010-01-11,49.58,49.69,48.64,49.29,38.21,14672400
2010-01-12,48.86,49.21,48.07,48.49,37.59,18009100
2010-01-13,48.85,48.95,48.23,48.7,37.76,12426700
2010-01-14,48.26,48.72,48.22,48.37,37.5,13751800
2010-01-15,48.61,49.04,48.11,48.53,37.62,21540300
2010-01-19,48.62,49.7,48.55,49.32,38.24,16564800
2010-01-20,48.91,48.94,47.79,48.35,37.49,18151500
2010-01-21,48.32,49.0,47.92,48.09,37.28,18703200
2010-01-22,48.11,48.57,46.67,46.78,36.27,22205300
2010-01-25,46.97,47.69,46.7,46.91,36.37,15304700
2010-01-26,46.9,47.47,46.56,46.89,36.35,18325500
2010-01-27,46.52,47.31,46.27,47.2,36.59,27302900
2010-01-28,42.11,42.11,40.01,40.48,31.38,130892200
2010-01-29,40.83,40.88,38.49,39.19,30.38,112830300
2010-02-01,39.25,39.97,38.68,39.77,30.83,54762600
2010-02-02,39.82,39.89,38.98,39.26,30.44,45670300
2010-02-03,38.96,39.72,38.6,39.63,30.72,36836200
2010-02-04,39.27,39.28,38.15,38.17,29.59,39883900
2010-02-05,38.41,38.6,37.43,38.04,29.49,39365100
2010-02-08,38.11,38.19,37.47,37.51,29.08,27373800
2010-02-09,37.92,38.29,37.64,37.91,29.39,28585600
2010-02-10,37.71,38.16,37.32,37.43,29.02,23742400
2010-02-11,37.27,38.12,37.0,38.01,29.47,34201400
2010-02-12,38.18,39.0,37.98,38.84,30.11,37313700
2010-02-16,39.09,39.3,38.7,39.02,30.25,34301800
2010-02-17,39.1,39.7,39.02,39.43,30.57,24733000
2010-02-18,39.47,39.94,39.39,39.81,30.86,19503800
2010-02-19,39.81,39.85,39.47,39.59,30.69,26638700
2010-02-22,39.81,39.89,38.69,39.01,30.24,27657900
2010-02-23,39.0,39.15,38.4,38.54,29.88,17926000
2010-02-24,38.61,38.67,37.67,37.87,29.49,27111500
2010-02-25,37.23,38.0,36.47,37.18,28.95,34843000
2010-02-26,37.12,37.13,36.51,36.68,28.56,30557500
2010-03-01,36.82,36.82,35.46,35.56,27.69,59161000
2010-03-02,36.75,38.46,36.57,37.93,29.54,77896200
2010-03-03,38.48,39.16,38.37,38.69,30.13,42163800
2010-03-04,38.94,39.28,38.58,39.25,30.56,29404500
2010-03-05,39.49,39.52,38.62,38.76,30.18,26466900
2010-03-08,38.83,39.01,38.61,38.79,30.21,13854600
2010-03-09,38.73,38.91,38.5,38.68,30.12,20134400
2010-03-10,38.57,39.1,38.5,38.88,30.28,15250000
2010-03-11,38.86,39.25,38.71,39.1,30.45,16325300
2010-03-12,39.12,39.39,38.8,38.95,30.33,20712100
2010-03-15,39.0,39.06,38.66,38.87,30.27,17334500
2010-03-16,38.9,39.11,38.59,39.01,30.38,27699200
2010-03-17,39.05,39.2,38.71,38.9,30.29,23287400
2010-03-18,39.23,40.53,39.16,40.43,31.48,45529100
2010-03-19,40.52,40.61,39.78,40.05,31.19,33417800
2010-03-22,40.08,40.54,39.87,40.28,31.37,16394500
2010-03-23,40.43,40.58,40.03,40.52,31.55,13840700
2010-03-24,40.24,40.43,40.02,40.19,31.3,12980800
2010-03-25,42.54,43.84,42.0,42.19,32.85,67289200
2010-03-26,42.0,42.54,41.61,41.83,32.57,29773800
2010-03-29,41.97,42.09,41.6,41.76,32.52,11592700
2010-03-30,42.45,42.5,41.94,42.13,32.81,20721000
2010-03-31,41.99,42.22,41.84,41.96,32.68,14932000
2010-04-01,42.17,42.46,42.14,42.27,32.92,16319600
2010-04-05,42.6,43.01,42.39,42.53,33.12,14692200
2010-04-06,42.22,42.56,42.19,42.43,33.04,10067800
2010-04-07,42.37,42.87,42.37,42.77,33.31,16091300
2010-04-08,42.69,42.72,42.09,42.4,33.02,12994300
2010-04-09,42.2,42.37,41.85,42.17,32.84,16152000
2010-04-12,42.03,42.46,42.0,42.23,32.89,8808700
2010-04-13,42.03,42.39,41.8,42.3,32.94,10762400
2010-04-14,42.23,42.8,42.1,42.6,33.17,19717700
2010-04-15,42.66,43.18,42.48,42.7,33.25,16214200
2010-04-16,42.68,42.98,42.25,42.74,33.28,23840800
2010-04-19,42.63,42.99,42.25,42.75,33.29,14960500
2010-04-20,42.74,43.35,42.49,43.29,33.71,14784600
2010-04-21,43.33,43.39,42.27,42.63,33.2,34304500
2010-04-22,39.75,40.35,38.88,39.33,30.63,96916600
2010-04-23,38.98,39.03,37.8,38.25,29.79,64242900
2010-04-26,38.27,38.71,37.78,38.11,29.68,25646700
2010-04-27,38.23,38.84,37.84,37.92,29.53,35398400
2010-04-28,38.22,38.85,38.0,38.82,30.23,27704200
2010-04-29,38.97,39.22,38.77,38.98,30.35,17668400
2010-04-30,39.15,39.29,38.61,38.68,30.12,18461000
2010-05-03,38.91,39.05,38.31,38.64,30.09,19361900
2010-05-04,38.27,38.3,37.01,37.6,29.28,25189600
2010-05-05,37.2,37.89,37.0,37.63,29.3,18405100
2010-05-06,37.36,37.63,35.56,36.67,28.56,28231500
2010-05-07,36.44,36.86,35.23,36.5,28.42,36415300
2010-05-10,37.41,37.81,37.1,37.37,29.1,22752400
2010-05-11,37.07,37.91,37.05,37.48,29.19,17506700
2010-05-12,38.0,38.39,37.72,38.16,29.72,17607400
2010-05-13,37.97,38.68,37.77,37.96,29.56,18366800
2010-05-14,37.76,38.04,36.9,37.3,29.05,19744400
2010-05-17,37.46,37.7,36.77,37.37,29.1,22359900
2010-05-18,37.02,37.46,36.5,36.71,28.59,22975400
2010-05-19,36.68,36.89,36.17,36.45,28.38,18550600
2010-05-20,35.75,36.24,35.25,35.59,27.71,27571300
2010-05-21,35.1,36.28,34.83,35.89,27.95,28635800
2010-05-24,35.6,36.15,35.43,35.67,27.78,16315100
2010-05-25,34.89,35.66,34.52,35.61,27.73,24935000
2010-05-26,35.75,36.1,34.76,34.88,27.31,26677500
2010-05-27,35.35,35.6,35.1,35.56,27.84,23507900
