Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.82,27.44,26.04,27.12,22.53,1018900
2010-01-05,27.05,27.51,27.01,27.46,22.82,1664400
2010-01-06,28.65,29.62,28.24,28.72,23.86,3041600
2010-01-07,28.58,29.23,28.47,29.23,24.29,2209300
2010-01-08,28.61,29.27,28.53,29.21,24.27,1517000
2010-01-11,29.18,29.61,29.17,29.35,24.39,1648400
2010-01-12,29.13,29.46,28.08,28.31,23.52,1827400
2010-01-13,28.3,28.49,28.16,28.42,23.61,1287400
2010-01-14,28.38,28.93,28.26,28.82,23.95,1192300
2010-01-15,28.83,29.1,28.42,28.56,23.73,1826400
2010-01-19,28.49,28.94,28.45,28.9,24.01,917100
2010-01-20,28.61,28.61,27.88,28.12,23.36,964500
2010-01-21,28.06,28.3,26.98,27.31,22.69,1951300
2010-01-22,27.08,27.35,26.55,26.61,22.11,1197500
2010-01-25,27.02,27.02,26.02,26.36,21.9,1437400
2010-01-26,26.2,26.57,26.07,26.42,21.95,1035900
2010-01-27,26.32,26.95,26.13,26.89,22.34,1698600
2010-01-28,26.95,27.05,26.44,26.84,22.3,1781900
2010-01-29,27.43,27.79,26.81,26.92,22.37,3029800
2010-02-01,26.93,27.04,26.36,26.87,22.33,1853400
2010-02-02,26.98,27.39,26.84,27.32,22.7,2305200
2010-02-03,27.21,27.41,26.91,27.04,22.47,1410000
2010-02-04,26.83,26.83,26.1,26.32,21.87,2042500
2010-02-05,26.26,26.49,25.86,26.4,21.93,2684000
2010-02-08,26.34,26.46,25.86,26.37,21.91,2332800
2010-02-09,26.67,26.91,26.38,26.62,22.12,2084700
2010-02-10,26.6,26.92,26.06,26.8,22.27,2345100
2010-02-11,26.67,27.28,26.35,27.22,22.62,1227200
2010-02-12,27.05,27.3,26.73,27.08,22.5,1311700
2010-02-16,27.27,27.99,27.17,27.92,23.2,1599900
2010-02-17,28.05,28.24,27.88,28.18,23.41,1297400
2010-02-18,28.08,28.36,28.03,28.31,23.52,895800
2010-02-19,28.05,28.88,28.05,28.61,23.77,1459600
2010-02-22,28.64,28.69,28.04,28.12,23.36,1257100
2010-02-23,28.0,28.0,27.17,27.3,22.79,2128800
2010-02-24,27.45,27.71,27.35,27.68,23.1,1734800
