Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,47.61,47.96,47.01,47.73,38.7,904000
2010-01-05,47.65,47.82,47.14,47.35,38.39,964900
2010-01-06,47.35,48.28,47.23,48.25,39.12,893200
2010-01-07,48.22,48.87,47.8,48.78,39.55,673800
2010-01-08,48.63,49.51,48.35,49.46,40.1,664400
2010-01-11,48.36,49.03,48.24,49.0,39.72,1416900
2010-01-12,48.47,48.8,48.01,48.22,39.09,1765400
2010-01-13,48.31,48.64,47.97,48.45,39.28,777400
2010-01-14,48.2,48.86,48.2,48.6,39.4,627400
2010-01-15,48.5,48.53,47.26,47.69,38.66,877200
2010-01-19,47.73,49.17,47.45,49.17,39.86,1150700
2010-01-20,48.48,48.5,47.96,48.36,39.21,1094300
2010-01-21,48.2,48.7,47.5,47.68,38.65,1406400
2010-01-22,47.42,47.57,45.92,46.02,37.31,989900
2010-01-25,46.62,46.87,46.09,46.63,37.8,687500
2010-01-26,46.34,46.89,45.72,46.16,37.42,1920600
2010-01-27,50.25,51.86,49.03,50.84,41.22,8160200
2010-01-28,51.09,51.36,49.73,49.94,40.49,3284300
2010-01-29,50.2,50.41,48.24,48.24,39.11,2637200
2010-02-01,48.46,49.75,48.44,49.75,40.33,1363300
2010-02-02,50.0,50.6,49.58,49.68,40.28,2382200
2010-02-03,49.59,49.93,48.93,49.23,39.91,1512400
2010-02-04,48.7,48.7,47.15,47.91,38.84,1962700
2010-02-05,48.0,48.55,47.51,48.51,39.33,3071100
2010-02-08,48.2,48.34,47.25,47.71,38.68,2016000
2010-02-09,48.89,50.07,48.3,49.5,40.13,1899100
2010-02-10,49.27,49.99,48.84,49.71,40.3,1867700
2010-02-11,49.44,50.84,49.05,50.72,41.36,1303700
2010-02-12,49.74,51.48,49.36,51.43,41.94,1826700
2010-02-16,51.72,53.0,51.72,52.83,43.08,1509800
2010-02-17,52.96,53.58,52.86,53.09,43.29,1191100
2010-02-18,53.08,53.8,53.01,53.78,43.86,726400
2010-02-19,53.52,54.52,53.29,54.31,44.29,1207900
2010-02-22,54.38,54.49,53.64,54.04,44.07,737000
2010-02-23,53.97,54.26,52.81,53.25,43.42,926700
2010-02-24,53.36,53.8,53.0,53.78,43.86,785500
2010-02-25,53.1,53.63,52.11,53.52,43.64,1060500
2010-02-26,53.48,54.21,53.24,54.09,44.11,790700
2010-03-01,54.45,55.22,54.41,55.13,44.96,864300
2010-03-02,55.5,55.91,55.3,55.65,45.38,765700
2010-03-03,55.71,56.14,55.1,55.26,45.06,993700
2010-03-04,55.46,55.62,54.86,55.0,44.85,684400
2010-03-05,55.31,56.05,55.31,55.98,45.65,2167200
2010-03-08,56.13,56.88,55.95,56.14,45.78,1171200
2010-03-09,56.01,56.26,55.71,56.05,45.71,804400
2010-03-10,56.03,56.49,55.85,56.16,45.8,858500
2010-03-11,56.03,56.05,55.41,55.84,45.54,1240400
2010-03-12,56.09,56.09,55.2,55.36,45.14,1413700
2010-03-15,55.47,55.47,54.51,54.99,44.84,1045500
2010-03-16,55.08,55.5,54.79,55.33,45.12,1228000
2010-03-17,55.32,55.82,55.16,55.23,45.04,852800
2010-03-18,55.4,55.4,54.94,55.13,44.96,797300
2010-03-19,55.37,55.58,54.9,55.37,45.15,1785400
2010-03-22,55.07,56.17,54.86,55.86,45.55,1201500
2010-03-23,55.92,57.0,55.8,56.78,46.3,1913300
2010-03-24,56.72,56.77,55.77,55.82,45.52,796600
2010-03-25,56.14,56.7,55.86,55.92,45.6,1108400
2010-03-26,56.19,56.65,55.29,55.43,45.2,1276600
2010-03-29,55.72,56.11,55.52,55.55,45.3,1078000
2010-03-30,55.74,56.5,55.5,56.16,45.8,1121000
2010-03-31,55.83,56.75,55.63,56.36,45.96,1057700
2010-04-01,56.64,57.28,56.28,56.64,46.19,876600
2010-04-05,56.87,57.72,56.6,57.32,46.74,696400
2010-04-06,57.11,58.05,56.94,58.04,47.33,1085600
2010-04-07,57.86,58.06,57.3,57.61,46.98,976100
2010-04-08,57.3,59.01,57.27,58.98,48.1,1257600
2010-04-09,59.0,59.35,58.86,59.14,48.23,842300
2010-04-12,59.29,59.75,59.21,59.61,48.61,891700
2010-04-13,59.56,59.68,58.81,59.13,48.22,1586000
2010-04-14,59.29,60.41,59.16,60.38,49.24,821500
2010-04-15,59.94,60.88,59.94,60.8,49.58,824300
2010-04-16,60.56,60.75,59.49,60.01,48.94,1287400
2010-04-19,59.79,59.94,58.58,59.27,48.33,998600
2010-04-20,59.83,60.73,59.83,60.69,49.49,827900
2010-04-21,60.63,60.83,59.85,60.42,49.27,1061500
2010-04-22,59.87,62.2,59.42,62.07,50.62,1530000
2010-04-23,62.21,62.72,61.58,62.71,51.14,663300
2010-04-26,62.94,63.84,62.7,62.83,51.24,662100
