Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.69,10.73,10.57,10.67,9.68,15743600
2010-01-05,10.71,10.88,10.65,10.87,9.85,9369600
2010-01-06,10.81,11.04,10.79,11.03,10.01,13144800
2010-01-07,11.41,11.61,11.39,11.49,10.42,23984800
2010-01-08,11.26,11.34,11.19,11.27,10.22,15926000
2010-01-11,11.3,11.34,11.13,11.32,10.27,10197600
2010-01-12,11.29,11.38,11.26,11.36,10.3,9478400
2010-01-13,11.41,11.52,11.38,11.48,10.41,7983600
2010-01-14,11.43,11.47,11.38,11.4,10.34,8125600
2010-01-15,11.45,11.45,11.2,11.22,10.17,6539600
2010-01-19,11.23,11.47,11.23,11.44,10.38,6678400
2010-01-20,11.39,11.41,11.21,11.31,10.26,5241600
2010-01-21,11.34,11.39,11.09,11.11,10.07,8160000
2010-01-22,11.03,11.2,10.94,10.96,9.94,9143600
2010-01-25,11.03,11.14,11.0,11.09,10.05,10186400
2010-01-26,11.05,11.35,11.01,11.3,10.25,10211600
2010-01-27,11.39,11.52,11.21,11.5,10.43,12769600
2010-01-28,11.53,11.54,11.36,11.51,10.44,13789200
2010-01-29,11.53,11.73,11.48,11.48,10.41,13900400
2010-02-01,11.57,11.7,11.5,11.62,10.54,9596000
2010-02-02,11.59,11.75,11.56,11.71,10.62,10828800
2010-02-03,11.65,11.68,11.46,11.55,10.47,12430400
2010-02-04,11.3,11.52,11.26,11.3,10.25,13031600
2010-02-05,11.34,11.53,11.31,11.49,10.42,11869200
2010-02-08,11.36,11.53,11.23,11.3,10.24,8425600
2010-02-09,11.42,11.48,11.28,11.39,10.32,7817600
2010-02-10,11.38,11.45,11.29,11.33,10.27,7723600
2010-02-11,11.37,11.59,11.31,11.55,10.47,7793600
2010-02-12,11.51,11.62,11.41,11.61,10.53,6904800
2010-02-16,11.67,11.7,11.56,11.65,10.57,5942800
2010-02-17,11.67,11.77,11.65,11.77,10.71,5629600
2010-02-18,11.81,11.85,11.72,11.77,10.71,4888400
2010-02-19,11.73,11.81,11.64,11.77,10.71,6316400
2010-02-22,11.76,11.82,11.65,11.79,10.73,7893200
2010-02-23,11.79,11.82,11.65,11.76,10.7,8288800
2010-02-24,11.82,12.05,11.75,12.03,10.95,7453600
2010-02-25,11.96,12.24,11.88,12.22,11.12,9108400
2010-02-26,12.26,12.27,12.14,12.23,11.13,8029200
2010-03-01,12.27,12.35,12.09,12.32,11.21,8996800
2010-03-02,12.36,12.4,12.3,12.32,11.21,10063600
2010-03-03,12.36,12.41,12.3,12.36,11.25,7551200
2010-03-04,12.5,12.89,12.42,12.77,11.62,15167200
2010-03-05,12.8,12.85,12.69,12.78,11.63,12361200
2010-03-08,12.77,12.97,12.74,12.95,11.78,7447200
2010-03-09,12.95,12.97,12.83,12.87,11.71,10384000
2010-03-10,12.92,13.06,12.9,13.02,11.85,9565200
2010-03-11,12.97,13.17,12.9,13.15,11.97,11040000
2010-03-12,13.15,13.24,13.1,13.23,12.04,6421200
2010-03-15,13.23,13.43,13.15,13.39,12.18,8617200
2010-03-16,13.39,13.58,13.39,13.55,12.33,8393200
2010-03-17,13.59,13.62,13.42,13.49,12.28,9937600
2010-03-18,13.35,13.49,12.95,13.04,11.86,19119600
2010-03-19,13.04,13.52,13.02,13.52,12.3,20170000
2010-03-22,13.48,13.74,13.45,13.67,12.44,8683200
