Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.21,19.85,18.91,19.78,17.57,14023600
2010-01-05,19.39,19.73,19.27,19.72,17.52,13248300
2010-01-06,19.64,19.68,19.23,19.36,17.2,10143700
2010-01-07,19.1,19.39,18.67,19.29,17.14,19494500
2010-01-08,19.18,19.24,18.97,19.16,17.02,9655100
2010-01-11,19.28,19.28,18.98,19.11,16.98,9586600
2010-01-12,19.0,19.43,18.96,19.09,16.96,11449100
2010-01-13,19.17,19.19,18.95,19.1,16.97,12530900
2010-01-14,19.0,19.34,18.96,19.18,17.04,6612800
2010-01-15,19.02,19.16,18.77,19.0,16.88,13235600
2010-01-19,19.0,19.41,18.91,19.29,17.14,10795900
2010-01-20,18.78,19.11,18.65,19.02,16.9,28242900
2010-01-21,19.04,19.31,18.79,19.15,17.01,49512700
2010-01-22,19.14,19.26,18.76,18.82,16.72,26803300
2010-01-25,19.01,19.1,18.84,18.96,16.84,12216000
2010-01-26,18.88,19.09,18.62,18.63,16.55,13896700
2010-01-27,18.73,18.82,18.47,18.74,16.65,16489200
2010-01-28,18.81,18.81,18.33,18.42,16.37,14864700
2010-01-29,18.66,18.69,18.18,18.29,16.25,10510700
2010-02-01,18.45,18.51,18.31,18.44,16.38,8519200
2010-02-02,18.2,18.55,18.13,18.23,16.2,15495600
2010-02-03,18.3,18.4,18.04,18.17,16.14,12133500
2010-02-04,18.03,18.12,17.5,17.59,15.63,28299200
2010-02-05,17.56,18.08,17.56,18.07,16.05,19732000
2010-02-08,18.05,18.09,17.71,17.72,15.74,14734000
2010-02-09,17.88,17.98,17.44,17.5,15.55,16020900
2010-02-10,17.49,18.02,17.39,17.87,15.93,26045100
2010-02-11,17.85,17.92,17.59,17.68,15.76,9711700
2010-02-12,17.75,17.77,17.48,17.61,15.7,15981100
2010-02-16,17.62,17.83,17.55,17.81,15.88,8150700
2010-02-17,17.87,17.9,17.5,17.74,15.82,10138300
2010-02-18,17.61,17.87,17.6,17.81,15.88,10787000
2010-02-19,18.15,18.84,18.12,18.73,16.7,26144900
2010-02-22,18.7,18.87,18.58,18.71,16.68,14953500
2010-02-23,18.63,18.72,18.36,18.41,16.41,11761700
2010-02-24,18.37,18.54,18.36,18.43,16.43,9636400
2010-02-25,18.22,18.28,18.02,18.26,16.28,11696400
2010-02-26,18.35,18.38,18.1,18.31,16.32,11311000
2010-03-01,18.24,18.39,18.22,18.25,16.27,7913800
2010-03-02,18.26,18.35,18.07,18.26,16.28,5904800
2010-03-03,18.28,18.42,18.09,18.12,16.15,10580800
2010-03-04,18.18,18.69,18.15,18.43,16.43,7293200
2010-03-05,18.48,18.96,18.43,18.96,16.9,8003800
2010-03-08,18.93,19.11,18.83,19.04,16.97,7081200
