Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,48.16,49.4,48.0,49.4,28.58,791400
2010-01-05,49.4,50.16,49.27,49.87,28.85,235700
2010-01-06,49.66,50.42,49.66,50.22,29.05,337100
2010-01-07,50.22,51.01,49.92,50.87,29.43,346100
2010-01-08,51.0,51.88,50.82,51.45,29.76,238600
2010-01-11,51.89,51.89,50.85,51.46,29.77,193400
2010-01-12,51.2,51.2,50.11,50.28,29.09,270900
2010-01-13,50.47,50.78,50.08,50.45,29.18,378500
2010-01-14,50.15,50.83,50.0,50.76,29.36,340500
2010-01-15,50.58,50.7,50.21,50.38,29.14,336000
2010-01-19,50.59,50.7,50.29,50.42,29.17,325800
2010-01-20,50.86,51.09,50.01,50.75,29.36,455000
2010-01-21,50.83,51.13,49.61,50.07,28.96,355700
2010-01-22,49.79,49.94,48.77,49.05,28.37,446000
2010-01-25,49.4,49.72,48.65,48.75,28.2,345300
2010-01-26,48.75,49.08,48.51,48.77,28.21,233000
2010-01-27,48.85,49.01,48.05,48.99,28.34,338300
2010-01-28,48.96,49.17,48.41,48.79,28.22,244200
2010-01-29,49.02,49.17,48.24,48.27,27.92,317800
2010-02-01,48.5,48.54,48.0,48.44,28.02,230900
2010-02-02,48.39,49.54,48.25,49.51,28.64,285600
2010-02-03,49.46,49.79,49.01,49.64,28.72,253200
2010-02-04,49.42,49.55,47.69,47.7,27.59,177900
2010-02-05,47.83,47.95,46.54,47.6,27.54,209700
2010-02-08,47.77,48.06,47.35,47.5,27.48,201000
2010-02-09,47.98,48.63,47.47,48.35,27.97,297400
2010-02-10,47.5,48.26,47.35,47.92,27.72,333200
2010-02-11,48.03,48.08,47.2,47.95,27.74,419300
2010-02-12,47.29,48.05,47.2,48.03,27.78,317700
2010-02-16,48.26,48.64,47.84,48.57,28.1,182500
2010-02-17,48.57,48.65,48.11,48.36,27.98,192900
2010-02-18,48.1,49.29,48.06,49.19,28.46,193900
2010-02-19,49.19,49.59,49.04,49.3,28.52,194200
2010-02-22,49.28,49.59,48.56,49.4,28.58,251000
2010-02-23,49.43,49.68,48.94,49.0,28.35,208400
2010-02-24,49.02,49.44,48.76,49.4,28.58,146200
2010-02-25,48.81,49.64,48.5,49.59,28.69,270200
2010-02-26,49.7,50.26,49.56,50.22,29.05,528300
2010-03-01,50.81,52.7,50.66,52.6,30.43,397200
2010-03-02,52.98,53.52,52.79,52.87,30.58,220500
2010-03-03,52.8,53.21,52.65,52.71,30.49,167800
2010-03-04,52.77,52.78,52.39,52.66,30.46,137800
2010-03-05,52.77,53.17,52.68,52.85,30.57,390500
2010-03-08,53.06,53.06,51.83,51.92,30.04,368700
2010-03-09,51.99,52.99,51.92,52.51,30.38,263200
2010-03-10,52.36,52.93,52.36,52.61,30.43,212200
2010-03-11,52.38,53.01,52.3,52.84,30.57,280200
2010-03-12,52.86,52.95,52.17,52.6,30.43,323200
2010-03-15,52.36,52.5,51.66,52.44,30.34,188800
2010-03-16,52.53,52.53,51.95,52.25,30.23,170500
2010-03-17,52.25,52.57,52.16,52.36,30.29,70800
2010-03-18,52.49,52.49,52.0,52.22,30.21,102400
2010-03-19,52.41,52.54,52.22,52.41,30.32,191200
2010-03-22,52.03,52.4,52.0,52.27,30.24,77500
2010-03-23,52.17,52.5,51.94,52.14,30.16,181500
2010-03-24,52.17,52.25,51.85,52.12,30.15,187200
2010-03-25,52.25,52.64,52.03,52.21,30.2,259900
2010-03-26,52.2,52.9,52.2,52.56,30.41,303900
2010-03-29,52.57,53.82,52.49,53.45,30.92,403700
2010-03-30,53.61,54.48,53.57,53.77,31.11,451100
2010-03-31,53.75,53.75,52.66,53.04,30.68,352500
2010-04-01,53.25,53.4,52.25,52.78,30.53,357600
2010-04-05,54.57,55.0,54.17,54.6,31.59,675300
2010-04-06,54.71,55.07,54.33,54.85,31.73,704600
2010-04-07,54.45,54.97,53.95,54.41,31.48,272800
2010-04-08,54.17,54.7,54.17,54.6,31.59,236500
2010-04-09,54.97,54.97,54.42,54.7,31.64,201200
