Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.27,12.3,12.15,12.24,10.95,3355000
2010-01-05,12.21,12.49,12.21,12.47,11.15,3781300
2010-01-06,12.79,13.12,12.58,13.1,11.72,6810500
2010-01-07,13.1,13.42,13.01,13.33,11.92,5979200
2010-01-08,13.29,13.37,13.12,13.3,11.9,3999300
2010-01-11,13.29,13.4,13.04,13.12,11.74,2875700
2010-01-12,13.06,13.13,12.94,12.97,11.6,3315600
2010-01-13,13.0,13.41,12.96,13.31,11.91,3900600
2010-01-14,13.89,14.09,13.73,14.04,12.56,8703500
2010-01-15,14.08,14.08,13.76,13.89,12.43,5633700
2010-01-19,13.86,14.06,13.73,13.99,12.51,4694600
2010-01-20,13.86,13.92,13.65,13.9,12.43,4448900
2010-01-21,13.9,13.96,13.54,13.65,12.21,6339100
2010-01-22,13.96,14.02,13.74,13.77,12.32,5865600
2010-01-25,13.88,14.06,13.68,13.89,12.43,4363300
2010-01-26,13.83,14.11,13.73,13.98,12.51,4628700
2010-01-27,13.98,14.02,13.72,13.78,12.33,5437200
2010-01-28,13.77,13.92,13.68,13.79,12.34,5243100
2010-01-29,13.9,14.0,13.78,13.82,12.36,4792900
2010-02-01,13.83,13.99,13.79,13.99,12.51,3347400
2010-02-02,14.0,14.38,13.96,14.27,12.77,4978000
2010-02-03,14.17,14.37,14.11,14.35,12.84,2992000
2010-02-04,14.24,14.24,13.9,13.99,12.51,4597900
2010-02-05,14.82,15.25,14.53,14.65,13.11,15735700
2010-02-08,14.85,15.25,14.66,15.09,13.5,9906700
2010-02-09,15.16,15.53,15.12,15.41,13.78,6883200
2010-02-10,15.44,15.58,15.25,15.53,13.89,5977000
2010-02-11,15.46,16.05,15.35,15.96,14.28,7058800
2010-02-12,15.89,16.11,15.63,16.04,14.35,4939400
2010-02-16,16.09,16.58,15.96,16.44,14.71,5945800
2010-02-17,16.49,16.67,16.23,16.63,14.88,7272900
2010-02-18,16.54,16.9,16.49,16.9,15.12,4726300
2010-02-19,16.82,17.07,16.74,16.95,15.16,7229500
2010-02-22,16.79,16.84,16.55,16.64,14.89,6349500
2010-02-23,16.65,16.8,16.51,16.75,14.98,5381100
2010-02-24,16.76,16.89,16.61,16.67,14.91,5659400
2010-02-25,16.47,17.01,16.45,17.0,15.24,6548700
2010-02-26,16.97,17.07,16.85,17.04,15.28,4022300
2010-03-01,17.05,17.44,16.98,17.17,15.4,3946000
2010-03-02,17.24,17.46,17.18,17.45,15.65,6095700
2010-03-03,17.56,17.59,17.18,17.22,15.44,7858700
2010-03-04,17.26,17.55,17.1,17.5,15.69,5822200
2010-03-05,17.06,17.46,17.06,17.24,15.46,8337500
2010-03-08,17.27,17.63,17.1,17.62,15.8,4690200
2010-03-09,17.54,17.7,17.45,17.6,15.78,3938100
2010-03-10,17.47,17.65,17.42,17.51,15.7,4417100
2010-03-11,17.62,17.75,17.41,17.74,15.91,3268400
2010-03-12,17.84,17.9,17.47,17.54,15.73,3854900
