Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.23,19.25,18.59,18.85,18.64,594700
2010-01-05,18.92,19.16,18.56,18.76,18.55,501000
2010-01-06,18.75,19.25,18.69,19.22,19.01,340400
2010-01-07,19.6,20.98,19.37,20.86,20.63,1530400
2010-01-08,21.0,21.62,20.87,21.61,21.37,619400
2010-01-11,21.62,21.62,21.05,21.28,21.04,403900
2010-01-12,21.28,21.6,20.87,21.14,20.91,234900
2010-01-13,20.63,21.41,20.63,21.31,21.07,195600
2010-01-14,21.09,21.48,20.4,20.44,20.21,438300
2010-01-15,20.54,20.54,19.75,20.35,20.12,236400
2010-01-19,20.17,20.45,20.07,20.21,19.99,378200
2010-01-20,20.09,20.31,19.71,20.1,19.88,298100
2010-01-21,20.16,20.49,19.5,20.0,19.78,283400
2010-01-22,19.96,20.49,19.57,20.05,19.83,289100
2010-01-25,20.15,20.47,19.73,19.74,19.52,154700
2010-01-26,19.66,20.26,19.24,19.97,19.75,458700
2010-01-27,19.93,20.0,19.64,19.91,19.69,122700
2010-01-28,20.0,20.16,19.15,19.29,19.08,207100
2010-01-29,19.31,19.97,19.3,19.4,19.19,192000
2010-02-01,19.49,19.99,19.42,19.79,19.57,233800
2010-02-02,19.74,19.74,18.88,19.49,19.27,363900
2010-02-03,19.44,19.62,19.0,19.12,18.91,91400
2010-02-04,18.93,19.01,18.0,18.01,17.81,329500
2010-02-05,18.0,18.13,17.52,17.92,17.72,343200
2010-02-08,17.85,18.6,17.53,17.87,17.67,214000
2010-02-09,18.12,18.26,17.8,17.94,17.74,464300
2010-02-10,17.84,18.0,17.05,17.29,17.1,587100
2010-02-11,17.16,17.92,17.05,17.75,17.55,216800
2010-02-12,17.53,17.9,17.53,17.86,17.66,294000
2010-02-16,18.15,18.49,17.92,18.39,18.19,185900
2010-02-17,18.53,18.68,18.26,18.45,18.25,211200
2010-02-18,18.37,18.54,18.24,18.42,18.22,92700
2010-02-19,18.43,18.45,17.93,17.94,17.74,315400
2010-02-22,17.95,18.28,17.56,17.98,17.78,201300
