Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.73,20.05,19.55,19.94,16.46,3110300
2010-01-05,19.85,20.29,19.8,20.23,16.7,1989000
2010-01-06,20.25,20.51,20.19,20.41,16.85,2435300
2010-01-07,20.24,20.92,20.07,20.86,17.22,3769600
2010-01-08,20.8,20.8,20.41,20.58,16.99,2046300
2010-01-11,20.58,20.99,20.58,20.96,17.3,2172600
2010-01-12,20.79,21.24,20.79,20.91,17.26,5054100
2010-01-13,21.01,21.15,20.77,21.05,17.38,2686700
2010-01-14,20.95,21.69,20.95,21.45,17.71,5754800
2010-01-15,21.41,21.79,21.3,21.39,17.66,6101000
2010-01-19,21.29,21.92,21.26,21.64,17.86,3621800
2010-01-20,21.5,21.61,21.17,21.53,17.77,3954400
2010-01-21,21.53,21.56,20.93,20.98,17.38,5031100
2010-01-22,20.99,21.09,20.15,20.19,16.73,3668400
2010-01-25,20.48,20.61,20.23,20.33,16.85,2502800
2010-01-26,20.13,20.41,19.76,19.8,16.41,2908500
2010-01-27,19.81,20.01,19.45,19.99,16.56,3471900
2010-01-28,19.92,20.03,19.59,19.61,16.25,4037700
2010-01-29,19.69,20.11,19.52,19.57,16.22,3336500
2010-02-01,19.71,20.14,19.59,20.1,16.66,3175100
2010-02-02,20.17,20.8,20.0,20.67,17.13,3610400
2010-02-03,20.45,20.62,19.75,19.95,16.53,3713500
2010-02-04,19.74,19.74,18.86,18.9,15.66,4127100
2010-02-05,18.9,19.23,18.56,19.22,15.93,4817000
2010-02-08,19.18,19.22,18.73,18.73,15.52,2748600
2010-02-09,19.04,19.38,18.78,19.01,15.75,3393200
2010-02-10,19.04,19.33,18.9,19.14,15.86,3112000
2010-02-11,19.14,19.5,18.97,19.42,16.09,2863200
2010-02-12,19.11,19.55,18.78,19.52,16.18,3630000
2010-02-16,19.74,20.08,19.62,20.08,16.64,3084100
2010-02-17,20.63,20.74,20.19,20.53,17.01,3316100
2010-02-18,20.48,20.94,20.4,20.92,17.34,3639500
2010-02-19,20.85,21.07,20.67,21.01,17.41,2920300
2010-02-22,20.93,21.1,20.87,21.01,17.41,1603500
