Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.06,30.28,29.8,29.98,24.14,3132800
2010-01-05,29.98,30.06,29.55,30.04,24.19,4322700
2010-01-06,29.92,30.36,29.81,29.89,24.07,3614300
2010-01-07,29.93,30.4,29.52,30.2,24.32,6299000
2010-01-08,30.15,30.15,29.75,30.04,24.19,1765000
2010-01-11,30.02,30.24,29.76,30.18,24.3,3337500
2010-01-12,30.01,30.06,29.15,29.48,23.74,4338500
2010-01-13,29.65,29.78,29.33,29.67,23.89,2656700
2010-01-14,29.58,30.02,29.57,29.97,24.13,2870200
2010-01-15,29.93,29.97,29.11,29.45,23.71,4406000
2010-01-19,29.47,30.9,29.47,30.8,24.8,5845900
2010-01-20,30.59,30.82,30.34,30.71,24.73,4803400
2010-01-21,30.67,31.2,30.27,30.37,24.46,5270200
2010-01-22,30.22,30.22,29.43,29.57,23.81,4483300
2010-01-25,29.85,30.0,29.24,29.3,23.59,2770500
2010-01-26,29.21,29.73,29.01,29.4,23.67,2583500
2010-01-27,29.49,29.68,29.03,29.25,23.55,2227000
2010-01-28,29.39,29.58,28.73,29.0,23.35,2724900
2010-01-29,29.09,29.74,28.98,29.14,23.47,4553200
2010-02-01,29.41,29.74,29.11,29.29,23.59,4157600
2010-02-02,29.32,29.76,28.5,29.68,23.9,4167900
2010-02-03,29.58,30.99,29.58,30.31,24.41,5797000
2010-02-04,30.04,30.04,29.13,29.13,23.46,4898600
2010-02-05,29.08,29.18,27.9,28.43,22.89,6303200
2010-02-08,28.48,28.61,27.89,27.92,22.48,5014000
2010-02-09,28.36,29.03,28.17,28.75,23.15,7182300
2010-02-10,28.61,28.9,28.18,28.55,22.99,4393300
2010-02-11,28.71,29.14,28.11,28.33,22.81,8873400
2010-02-12,28.63,29.1,28.27,28.9,23.27,4959200
2010-02-16,29.08,29.41,28.8,29.41,23.68,3005100
2010-02-17,29.55,29.93,29.21,29.76,23.96,3726100
2010-02-18,29.61,29.82,29.29,29.76,23.96,3847700
2010-02-19,29.53,30.01,29.45,29.94,24.11,4145900
2010-02-22,30.19,30.27,29.59,29.8,24.0,5051800
2010-02-23,29.96,29.96,29.07,29.31,23.6,5043500
2010-02-24,29.5,29.58,28.99,29.45,23.71,4822000
2010-02-25,28.91,29.74,28.79,29.69,23.91,5072500
2010-02-26,29.68,29.73,29.44,29.65,23.88,3285300
2010-03-01,29.69,30.0,29.48,29.65,23.88,5189900
2010-03-02,29.9,30.09,29.61,29.7,23.92,3973100
2010-03-03,29.67,29.93,29.53,29.58,23.82,2543400
2010-03-04,29.67,29.85,29.45,29.75,23.96,3106400
2010-03-05,29.9,30.55,29.83,30.34,24.43,4383800
2010-03-08,30.46,30.67,30.33,30.39,24.47,3752400
2010-03-09,30.23,31.01,30.06,30.75,24.76,5204100
2010-03-10,30.68,31.33,30.56,31.13,25.07,5161800
