Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,42.85,44.24,42.8,44.24,44.24,1744900
2010-01-05,43.06,43.35,42.5,42.78,42.78,2456500
2010-01-06,42.51,42.87,41.86,42.03,42.03,2313700
2010-01-07,42.0,42.49,41.44,41.5,41.5,1873200
2010-01-08,41.45,41.5,40.41,40.67,40.67,3687900
2010-01-11,40.81,42.13,40.5,41.83,41.83,2193100
2010-01-12,41.87,42.61,41.11,41.79,41.79,2179400
2010-01-13,41.8,42.94,41.6,42.72,42.72,1601300
2010-01-14,42.48,42.69,41.11,41.3,41.3,1892600
2010-01-15,41.74,41.74,39.8,40.21,40.21,2367300
2010-01-19,40.33,41.78,40.33,41.68,41.68,2199700
2010-01-20,41.43,41.86,40.61,40.74,40.74,1614900
2010-01-21,40.96,40.96,39.54,39.85,39.85,1876600
2010-01-22,39.88,40.75,39.88,40.14,40.14,1345400
2010-01-25,40.23,40.34,39.41,39.52,39.52,1107800
2010-01-26,39.5,39.75,38.95,39.02,39.02,1430000
2010-01-27,38.81,39.34,38.63,39.0,39.0,1908200
2010-01-28,39.01,39.37,38.2,38.65,38.65,1486200
2010-01-29,38.75,39.17,38.36,38.4,38.4,1322600
2010-02-01,39.93,39.93,39.18,39.34,39.34,2358300
2010-02-02,39.25,40.5,38.93,40.49,40.49,2024000
2010-02-03,40.36,40.42,39.54,40.23,40.23,1427300
2010-02-04,39.78,39.84,38.27,38.42,38.42,2192500
2010-02-05,38.5,38.68,36.15,37.61,37.61,3571200
2010-02-08,37.0,37.6,37.0,37.42,37.42,1685900
2010-02-09,37.74,38.36,37.33,37.9,37.9,1208400
2010-02-10,37.77,37.9,37.11,37.5,37.5,693800
2010-02-11,37.58,39.0,37.48,38.1,38.1,1927300
2010-02-12,37.76,38.39,37.76,38.38,38.38,1311300
2010-02-16,38.46,38.73,37.8,38.68,38.68,1017300
2010-02-17,38.8,39.98,38.74,39.78,39.78,1522300
2010-02-18,39.93,40.43,39.93,40.25,40.25,1282500
2010-02-19,40.23,40.72,40.23,40.7,40.7,982800
2010-02-22,40.72,40.74,39.63,39.92,39.92,1187100
2010-02-23,39.61,40.16,39.04,39.42,39.42,1637500
2010-02-24,39.7,40.51,39.7,40.36,40.36,1393700
2010-02-25,39.93,40.19,39.18,40.14,40.14,1107800
2010-02-26,40.18,40.62,39.51,40.54,40.54,1355700
2010-03-01,40.66,41.78,40.61,41.43,41.43,1164300
2010-03-02,41.83,42.03,41.27,41.84,41.84,1105100
2010-03-03,41.79,42.11,41.71,41.98,41.98,1367000
2010-03-04,42.0,42.08,41.25,41.6,41.6,875600
2010-03-05,41.62,41.86,41.39,41.52,41.52,940200
2010-03-08,41.33,41.55,41.26,41.4,41.4,687800
2010-03-09,41.18,42.19,41.17,42.08,42.08,1635900
2010-03-10,42.22,43.14,42.11,43.02,43.02,3012000
2010-03-11,42.89,43.11,42.4,43.0,43.0,1037900
2010-03-12,43.04,43.46,42.52,43.46,43.46,1188500
2010-03-15,43.39,43.73,42.75,43.24,43.24,1428600
2010-03-16,43.32,43.94,43.23,43.71,43.71,1513500
2010-03-17,43.64,43.91,42.39,42.4,42.4,2101700
2010-03-18,42.36,42.68,41.58,41.7,41.7,2066500
2010-03-19,42.1,42.72,41.91,42.72,42.72,3983700
2010-03-22,42.61,42.95,42.33,42.48,42.48,1139900
2010-03-23,42.33,42.46,42.02,42.18,42.18,1087100
2010-03-24,42.16,42.38,41.58,41.71,41.71,1413200
2010-03-25,42.04,42.12,41.54,41.55,41.55,1207800
2010-03-26,41.78,42.12,41.29,41.61,41.61,1210000
2010-03-29,41.73,41.94,40.97,41.16,41.16,1369300
2010-03-30,41.25,41.39,40.71,40.86,40.86,1535400
2010-03-31,40.89,41.67,40.83,40.87,40.87,1904900
2010-04-01,41.08,41.62,40.6,40.85,40.85,1778600
2010-04-05,40.86,41.05,40.53,40.65,40.65,1439200
2010-04-06,40.51,40.66,40.06,40.47,40.47,2434600
2010-04-07,40.31,41.45,40.12,40.49,40.49,2799900
2010-04-08,40.43,40.5,39.42,39.81,39.81,2224600
2010-04-09,40.01,40.01,39.22,39.68,39.68,1525000
2010-04-12,38.77,39.75,38.22,39.26,39.26,2763600
2010-04-13,39.24,40.17,38.94,40.01,40.01,2185200
2010-04-14,40.09,40.21,39.51,39.99,39.99,1292400
2010-04-15,39.76,40.22,39.23,39.66,39.66,1627100
2010-04-16,39.62,40.12,38.92,39.99,39.99,2677000
2010-04-19,40.0,40.26,39.66,40.04,40.04,2245500
2010-04-20,40.23,40.55,39.71,40.5,40.5,1603200
2010-04-21,40.37,40.47,39.1,39.35,39.35,1920000
2010-04-22,39.06,39.06,37.98,38.09,38.09,2325600
2010-04-23,38.42,38.81,37.87,38.75,38.75,1435800
2010-04-26,38.63,38.99,38.38,38.5,38.5,932000
2010-04-27,38.5,39.3,38.5,38.67,38.67,2351900
2010-04-28,38.78,38.99,38.36,38.54,38.54,1139900
2010-04-29,38.6,39.64,38.42,39.55,39.55,1247600
2010-04-30,39.06,39.83,38.69,38.77,38.77,1343800
2010-05-03,38.77,39.29,38.38,38.97,38.97,1208400
2010-05-04,38.49,38.96,37.95,38.47,38.47,1964200
2010-05-05,38.2,38.68,37.0,37.55,37.55,2933300
2010-05-06,37.68,37.68,34.26,36.9,36.9,4164900
2010-05-07,36.83,37.09,34.93,35.9,35.9,3380600
2010-05-10,37.5,37.62,36.97,37.55,37.55,2379100
2010-05-11,37.22,38.46,37.02,38.11,38.11,1777100
2010-05-12,38.06,38.94,37.78,38.77,38.77,1604800
2010-05-13,38.24,38.92,38.1,38.48,38.48,1501500
2010-05-14,38.39,38.56,37.14,37.46,37.46,1636600
2010-05-17,38.06,38.73,36.69,37.56,37.56,1437100
2010-05-18,37.76,38.08,37.07,37.09,37.09,1002100
2010-05-19,37.11,37.72,36.78,37.42,37.42,1772200
2010-05-20,36.76,36.88,35.48,35.58,35.58,2155600
2010-05-21,35.34,35.64,34.06,34.12,34.12,5269000
2010-05-24,34.05,35.2,34.0,34.26,34.26,2596600
2010-05-25,33.61,34.09,33.12,33.95,33.95,2794000
2010-05-26,37.72,37.82,34.64,34.74,34.74,8918900
2010-05-27,35.21,35.35,33.11,34.44,34.44,4867100
