Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,20.67,20.97,20.61,20.86,20.07,510600
2010-01-05,20.77,20.93,20.68,20.86,20.08,587600
2010-01-06,20.85,21.27,20.77,21.0,20.2,1176400
2010-01-07,21.0,21.12,20.79,21.01,20.22,822000
2010-01-08,20.96,21.48,20.96,21.35,20.55,374400
2010-01-11,21.51,21.66,21.04,21.15,20.35,766800
2010-01-12,21.03,21.17,20.83,20.98,20.18,365600
2010-01-13,21.07,21.17,20.76,21.16,20.36,627600
2010-01-14,21.02,21.23,20.79,20.83,20.05,692000
2010-01-15,20.85,20.88,20.2,20.37,19.6,606000
2010-01-19,20.35,20.41,20.02,20.36,19.6,791600
2010-01-20,20.2,20.3,19.84,20.15,19.39,791200
2010-01-21,20.15,20.39,19.8,19.92,19.17,1102400
2010-01-22,19.94,20.04,19.67,19.75,19.01,1172200
2010-01-25,20.0,20.0,19.57,19.62,18.88,563400
2010-01-26,19.5,19.68,19.34,19.39,18.65,857600
2010-01-27,19.36,19.46,19.05,19.39,18.65,695400
2010-01-28,19.4,19.47,18.88,18.9,18.19,569200
2010-01-29,18.81,19.54,18.81,19.17,18.44,1856600
2010-02-01,19.25,19.51,19.15,19.23,18.5,742800
2010-02-02,19.17,19.54,19.14,19.32,18.59,529600
2010-02-03,19.16,19.26,18.88,19.01,18.3,713600
2010-02-04,18.85,18.88,18.36,18.44,17.75,642200
2010-02-05,18.43,18.55,18.08,18.5,17.8,1089400
2010-02-08,18.54,18.63,18.27,18.51,17.81,650800
2010-02-09,18.82,18.93,18.58,18.65,17.95,511000
2010-02-10,18.56,18.7,18.35,18.51,17.82,810400
2010-02-11,18.5,18.98,18.42,18.85,18.15,1164000
2010-02-12,18.67,18.88,18.41,18.83,18.12,756000
2010-02-16,19.06,19.17,18.85,19.03,18.33,573200
2010-02-17,19.03,19.21,19.0,19.2,18.49,721600
2010-02-18,19.25,19.65,19.11,19.55,18.82,516400
2010-02-19,19.52,19.77,19.5,19.61,18.89,347400
2010-02-22,19.65,19.75,19.54,19.68,18.95,422400
2010-02-23,19.02,19.62,18.84,19.33,18.62,822200
2010-02-24,19.32,19.44,18.66,18.87,18.17,1204000
2010-02-25,18.7,19.11,18.49,19.08,18.38,693400
2010-02-26,19.08,19.17,18.91,19.07,18.36,533000
2010-03-01,19.12,19.63,19.1,19.45,18.73,727000
2010-03-02,19.5,19.63,19.4,19.57,18.84,493800
2010-03-03,19.58,19.73,19.42,19.67,18.94,768000
2010-03-04,19.75,19.94,19.59,19.75,19.01,393600
2010-03-05,19.85,20.11,19.79,20.07,19.32,702400
2010-03-08,20.01,20.19,19.99,20.15,19.4,448600
2010-03-09,20.09,20.57,20.07,20.53,19.77,1327400
2010-03-10,20.47,20.85,20.42,20.81,20.03,811400
2010-03-11,20.74,20.98,20.61,20.98,20.2,707800
2010-03-12,21.03,21.31,20.95,21.3,20.51,657000
2010-03-15,21.2,21.42,21.14,21.39,20.59,509800
2010-03-16,21.48,21.72,21.4,21.67,20.86,549400
2010-03-17,21.76,21.95,21.67,21.84,21.03,341400
2010-03-18,21.32,21.84,21.32,21.64,20.84,1316000
2010-03-19,21.32,21.72,21.22,21.32,20.52,701400
2010-03-22,21.2,21.68,21.14,21.57,20.77,560800
2010-03-23,21.65,22.09,21.55,22.07,21.24,550000
2010-03-24,21.98,22.07,21.88,21.93,21.12,743000
2010-03-25,22.08,22.27,21.74,21.76,20.95,746600
2010-03-26,21.8,21.93,21.59,21.7,20.89,875200
2010-03-29,21.81,21.88,21.64,21.71,20.9,581200
2010-03-30,21.76,21.76,21.34,21.38,20.58,1101400
2010-03-31,21.27,21.36,21.03,21.06,20.28,957600
2010-04-01,21.2,21.38,21.14,21.33,20.53,318600
2010-04-05,21.48,21.86,21.37,21.85,21.04,308800
2010-04-06,21.8,21.85,21.57,21.67,20.87,945800
2010-04-07,21.07,21.07,20.56,20.74,19.97,1904200
2010-04-08,20.69,21.15,20.61,21.1,20.32,952200
2010-04-09,21.17,21.34,20.96,21.3,20.51,921000
2010-04-12,21.3,21.53,21.27,21.48,20.68,505000
2010-04-13,21.42,21.72,21.37,21.7,20.9,435400
2010-04-14,21.78,23.17,21.78,23.11,22.26,1580000
2010-04-15,22.99,23.62,22.9,23.57,22.69,1042600
2010-04-16,23.42,23.85,23.41,23.72,22.83,1647400
2010-04-19,23.66,23.81,23.49,23.78,22.9,1016200
2010-04-20,23.83,24.11,23.59,23.76,22.88,665400
2010-04-21,23.88,24.35,23.83,24.19,23.3,560800
2010-04-22,23.86,24.52,23.84,24.47,23.56,516600
2010-04-23,24.45,25.07,24.45,25.07,24.14,753200
2010-04-26,24.97,25.44,24.97,25.21,24.27,707400
2010-04-27,25.14,25.24,24.23,24.26,23.36,803800
2010-04-28,23.9,24.25,23.7,23.83,22.95,1243000
2010-04-29,23.95,24.25,23.85,24.23,23.33,1197000
2010-04-30,24.32,24.77,23.75,23.79,22.91,813000
2010-05-03,23.97,24.52,23.93,24.39,23.48,460200
2010-05-04,24.07,24.08,23.44,23.62,22.75,581400
2010-05-05,23.41,23.67,23.08,23.2,22.34,654200
2010-05-06,23.02,23.42,21.36,22.6,21.76,933200
2010-05-07,22.39,22.64,21.76,22.05,21.23,813800
2010-05-10,22.95,23.47,22.82,23.45,22.58,951000
2010-05-11,23.23,23.75,23.06,23.57,22.69,906800
2010-05-12,23.62,24.81,23.58,24.74,23.82,1240600
2010-05-13,24.6,24.85,24.33,24.42,23.52,1097200
2010-05-14,24.31,24.31,23.24,23.45,22.59,702600
2010-05-17,23.5,23.82,22.73,23.23,22.37,591000
2010-05-18,23.56,23.62,22.83,22.85,22.01,426400
2010-05-19,22.8,22.97,21.83,22.31,21.49,718600
2010-05-20,21.77,21.94,21.25,21.47,20.68,1236400
2010-05-21,21.13,22.12,20.95,21.73,20.93,1014200
2010-05-24,21.7,21.92,21.36,21.43,20.64,474600
2010-05-25,20.83,21.18,20.56,21.16,20.38,1095800
2010-05-26,21.35,21.76,21.05,21.14,20.36,811400
2010-05-27,21.6,22.07,21.46,22.07,21.25,724800
2010-05-28,22.07,22.07,21.36,21.67,20.88,426200
2010-06-01,21.46,21.8,20.97,20.98,20.21,303400
2010-06-02,21.09,21.52,20.92,21.52,20.73,500400
2010-06-03,21.5,22.08,21.5,22.03,21.22,567000
2010-06-04,21.3,21.73,20.9,20.98,20.21,1290000
2010-06-07,21.1,21.1,20.38,20.4,19.65,585400
2010-06-08,20.41,20.7,20.19,20.61,19.85,527200
2010-06-09,20.82,21.48,20.72,20.8,20.03,591800
2010-06-10,21.25,21.77,21.25,21.66,20.86,455200
2010-06-11,21.34,21.91,21.23,21.66,20.86,342400
2010-06-14,21.83,22.22,21.71,21.78,20.98,347000
2010-06-15,21.97,22.44,21.85,22.4,21.57,356000
2010-06-16,22.26,22.55,22.18,22.34,21.52,308400
2010-06-17,22.34,22.47,21.93,22.15,21.33,272400
2010-06-18,22.18,22.18,21.85,22.01,21.2,449400
2010-06-21,22.34,22.54,21.73,21.83,21.03,353800
2010-06-22,21.88,22.22,21.1,21.15,20.37,587800
2010-06-23,21.07,21.11,20.42,20.97,20.19,895600
2010-06-24,20.76,20.88,20.36,20.43,19.68,536800
2010-06-25,20.51,20.76,20.33,20.61,19.86,1988800
2010-06-28,20.6,21.05,20.47,20.72,19.95,430400
2010-06-29,20.38,20.49,19.9,20.04,19.3,726600
2010-06-30,19.99,20.26,19.85,19.94,19.21,577200
2010-07-01,19.93,20.16,19.59,19.84,19.11,862200
2010-07-02,19.93,20.02,19.63,19.81,19.08,493600
2010-07-06,20.1,20.33,19.22,19.35,18.64,586400
2010-07-07,19.34,19.69,19.24,19.66,18.94,784600
2010-07-08,19.8,20.17,19.73,20.12,19.38,693600
2010-07-09,20.04,20.56,20.0,20.5,19.75,450600
2010-07-12,20.38,20.51,20.16,20.2,19.46,414000
2010-07-13,20.39,21.25,20.39,21.15,20.37,660000
