Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.48,17.65,17.45,17.62,11.3,7020200
2010-01-05,17.53,17.95,17.53,17.84,11.44,7415400
2010-01-06,17.91,18.46,17.77,18.42,11.81,12157100
2010-01-07,18.39,18.4,18.07,18.28,11.73,6181300
2010-01-08,18.27,18.43,18.11,18.43,11.82,4703700
2010-01-11,18.52,18.68,18.19,18.32,11.75,6130100
2010-01-12,18.19,18.19,17.76,17.78,11.4,6533300
2010-01-13,17.81,17.96,17.72,17.8,11.41,8901900
2010-01-14,17.53,17.93,17.53,17.69,11.35,8519200
2010-01-15,17.66,17.67,17.31,17.42,11.17,6786600
2010-01-19,18.55,19.37,18.55,18.83,12.08,27213600
2010-01-20,18.69,19.18,18.58,18.86,12.1,15715700
2010-01-21,18.92,19.16,18.38,18.44,11.83,12856500
2010-01-22,18.24,18.57,18.0,18.03,11.57,14050400
2010-01-25,18.33,18.64,18.24,18.5,11.86,8727600
2010-01-26,17.76,18.46,17.76,18.09,11.6,10327800
2010-01-27,18.04,18.16,17.55,17.92,11.49,8085300
2010-01-28,18.06,18.28,17.55,17.69,11.35,13746800
2010-01-29,17.72,18.13,16.87,16.99,10.9,12808700
2010-02-01,17.21,17.52,17.11,17.52,11.24,10441800
2010-02-02,17.64,18.01,17.38,17.9,11.48,12138900
2010-02-03,17.8,17.94,17.6,17.66,11.32,5698800
2010-02-04,17.51,17.51,16.67,16.69,10.7,11911300
2010-02-05,16.52,16.76,15.9,16.52,10.59,17596100
2010-02-08,16.57,16.92,16.51,16.71,10.72,11890000
2010-02-09,16.95,17.45,16.91,17.17,11.01,13006000
2010-02-10,17.17,17.36,16.88,17.24,11.06,11099700
2010-02-11,17.18,17.71,17.06,17.68,11.34,8861600
2010-02-12,17.43,17.68,17.22,17.64,11.31,8074300
2010-02-16,17.97,18.24,17.97,18.24,11.7,8519700
2010-02-17,18.25,18.35,18.08,18.25,11.71,6692200
2010-02-18,18.03,18.31,17.63,18.06,11.59,10930500
2010-02-19,17.99,18.15,17.84,18.13,11.63,8264500
2010-02-22,18.19,18.32,17.5,17.59,11.28,10017100
2010-02-23,17.52,17.63,17.15,17.3,11.09,8221700
2010-02-24,17.33,17.62,17.26,17.61,11.29,9145300
2010-02-25,17.33,17.75,17.16,17.71,11.36,6039400
2010-02-26,17.77,17.82,17.45,17.56,11.26,8651600
2010-03-01,17.63,17.98,17.62,17.98,11.53,8197200
2010-03-02,18.02,18.29,18.01,18.16,11.65,8182600
2010-03-03,18.17,18.51,18.15,18.42,11.81,6656200
2010-03-04,18.42,18.63,18.16,18.38,11.79,6666500
2010-03-05,18.59,18.87,18.52,18.86,12.09,7665400
2010-03-08,18.85,18.91,18.53,18.64,11.95,6240600
2010-03-09,18.51,18.68,18.44,18.59,11.92,6430500
2010-03-10,18.52,18.72,18.42,18.52,11.95,9951100
2010-03-11,18.42,18.64,18.28,18.59,12.0,4784800
2010-03-12,18.68,18.79,18.49,18.65,12.03,5441700
2010-03-15,18.39,18.65,18.18,18.51,11.94,5897200
2010-03-16,18.62,18.87,18.46,18.84,12.15,5918600
2010-03-17,18.81,19.03,18.72,18.83,12.15,7794400
2010-03-18,18.88,18.88,18.4,18.6,12.0,7276900
2010-03-19,18.37,18.67,18.11,18.37,11.85,6814400
2010-03-22,18.15,18.45,17.93,18.35,11.84,6466000
2010-03-23,18.29,18.65,18.24,18.61,12.01,6442300
2010-03-24,18.48,18.73,18.4,18.64,12.03,6081000
2010-03-25,18.75,18.87,18.48,18.51,11.94,10525600
2010-03-26,18.55,18.68,18.44,18.55,11.97,10923600
2010-03-29,18.6,18.87,18.58,18.73,12.09,9234100
2010-03-30,18.88,18.88,18.64,18.86,12.17,5644200
2010-03-31,18.8,19.0,18.73,18.83,12.15,6534400
2010-04-01,18.96,19.15,18.91,19.06,12.3,5592800
2010-04-05,19.11,19.53,19.11,19.43,12.53,4926100
2010-04-06,19.56,19.8,19.44,19.63,12.66,5574400
2010-04-07,19.59,19.62,19.26,19.34,12.48,4698300
2010-04-08,19.26,19.57,19.08,19.51,12.59,4255500
2010-04-09,19.59,19.75,19.55,19.66,12.69,4575500
2010-04-12,19.71,19.97,19.59,19.74,12.74,4607300
2010-04-13,19.65,19.7,19.36,19.55,12.61,3718100
2010-04-14,19.58,19.75,19.4,19.73,12.73,4480700
2010-04-15,19.64,19.85,19.57,19.75,12.74,4608300
2010-04-16,19.65,19.75,19.03,19.21,12.4,9026400
2010-04-19,19.01,19.29,18.89,19.29,12.44,4650700
2010-04-20,19.47,19.6,19.4,19.5,12.58,4687600
2010-04-21,19.61,19.61,19.17,19.3,12.45,4729600
2010-04-22,19.08,19.42,18.9,19.35,12.49,7282600
2010-04-23,19.34,20.0,19.33,19.97,12.89,5650300
2010-04-26,20.1,20.1,19.83,19.94,12.86,4729100
2010-04-27,19.81,19.87,19.14,19.18,12.38,6666000
2010-04-28,19.13,19.38,19.04,19.3,12.45,6426000
2010-04-29,19.45,19.65,19.3,19.38,12.5,4894900
2010-04-30,19.44,19.56,19.07,19.25,12.42,7097700
2010-05-03,19.39,19.83,19.39,19.67,12.69,6584300
2010-05-04,19.27,19.4,18.89,19.02,12.27,8267900
2010-05-05,18.67,18.73,17.98,18.11,11.69,11712700
2010-05-06,17.96,18.16,16.39,17.16,11.07,17138300
2010-05-07,17.15,17.48,16.34,16.57,10.69,18445100
2010-05-10,17.35,17.59,17.14,17.51,11.3,11284300
2010-05-11,17.14,17.95,17.14,17.78,11.47,12617800
2010-05-12,17.94,18.38,17.88,18.27,11.79,9175900
2010-05-13,18.2,18.4,17.94,18.14,11.7,7895700
2010-05-14,17.94,18.11,17.34,17.64,11.38,10199400
2010-05-17,17.71,17.82,16.87,17.23,11.12,9815800
2010-05-18,17.48,17.74,16.87,16.99,10.96,8394300
2010-05-19,16.83,16.93,16.18,16.47,10.62,14981700
2010-05-20,16.09,16.09,15.49,15.58,10.05,13756000
2010-05-21,15.15,15.93,15.08,15.81,10.2,11619100
2010-05-24,15.72,15.86,15.5,15.5,10.0,8953000
2010-05-25,14.8,15.61,14.8,15.59,10.06,11963400
2010-05-26,15.86,16.13,15.65,15.72,10.14,9893200
2010-05-27,16.12,16.42,16.06,16.4,10.58,8193600
2010-05-28,16.36,16.55,16.03,16.1,10.39,7677500
2010-06-01,15.88,16.03,15.37,15.4,9.94,7611200
2010-06-02,15.57,15.89,15.45,15.89,10.25,10869600
2010-06-03,15.86,16.43,15.74,16.39,10.58,9564700
2010-06-04,16.0,16.36,15.61,15.68,10.12,10600300
2010-06-07,15.81,15.92,15.29,15.33,9.89,8857300
2010-06-08,15.28,15.71,15.2,15.68,10.11,10456500
2010-06-09,15.81,16.27,15.55,15.63,10.16,9189100
2010-06-10,15.96,16.29,15.86,16.27,10.58,9499600
2010-06-11,15.96,16.33,15.94,16.32,10.61,5642100
2010-06-14,16.52,16.61,16.23,16.26,10.57,6912200
2010-06-15,16.48,17.23,16.47,17.18,11.18,10435800
2010-06-16,17.03,17.27,16.92,17.04,11.08,10857800
2010-06-17,17.26,17.32,16.97,17.18,11.17,8436800
2010-06-18,17.48,17.67,17.23,17.46,11.36,11254000
2010-06-21,17.73,17.78,17.14,17.27,11.23,7150300
2010-06-22,17.27,17.38,16.46,16.52,10.75,10145900
2010-06-23,16.56,16.61,16.21,16.43,10.68,7836100
2010-06-24,16.39,16.45,16.06,16.13,10.49,7301600
2010-06-25,16.18,16.34,15.86,16.16,10.51,12830800
2010-06-28,16.1,16.21,15.79,15.84,10.3,7790900
2010-06-29,15.66,15.66,14.96,15.09,9.81,13977300
2010-06-30,15.24,15.33,14.82,14.9,9.69,9527100
2010-07-01,14.93,15.04,14.32,14.59,9.49,14321300
2010-07-02,14.59,14.83,14.29,14.4,9.37,8865500
2010-07-06,14.67,14.84,14.37,14.54,9.45,10147500
2010-07-07,14.51,15.33,14.51,15.31,9.96,13413000
2010-07-08,15.51,15.6,15.24,15.57,10.13,9143600
2010-07-09,15.56,15.65,15.41,15.59,10.14,4407100
2010-07-12,15.53,15.71,15.38,15.67,10.19,6963500
2010-07-13,15.84,15.98,15.74,15.87,10.32,7587800
2010-07-14,15.74,15.86,15.59,15.73,10.23,5814100
