Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.38,21.38,21.04,21.08,14.69,2670400
2010-01-05,20.95,21.0,20.41,20.83,14.52,4321400
2010-01-06,20.87,20.96,20.74,20.87,14.54,2164500
2010-01-07,20.8,20.84,20.64,20.78,14.48,3041700
2010-01-08,20.76,20.81,20.59,20.79,14.49,1599100
2010-01-11,20.91,21.09,20.79,20.99,14.63,2266600
2010-01-12,20.94,21.26,20.86,21.24,14.8,3481400
2010-01-13,21.28,21.62,21.28,21.57,15.03,3438400
2010-01-14,21.65,21.66,21.46,21.61,15.06,2278400
2010-01-15,21.54,21.54,21.29,21.41,14.92,3249700
2010-01-19,21.44,21.6,21.31,21.6,15.05,1647700
2010-01-20,21.56,21.61,21.23,21.54,15.01,2731100
2010-01-21,21.59,21.76,21.24,21.37,14.89,4444100
2010-01-22,21.33,21.43,20.84,20.84,14.52,3347900
2010-01-25,20.92,21.0,20.67,20.79,14.49,2106500
2010-01-26,20.69,20.92,20.63,20.8,14.49,2730900
2010-01-27,20.73,20.99,20.57,20.94,14.59,3885800
2010-01-28,21.1,21.1,20.72,20.86,14.54,2859000
2010-01-29,20.87,20.96,20.68,20.78,14.48,3960200
2010-02-01,20.83,20.91,20.63,20.85,14.53,2335200
2010-02-02,20.8,21.17,20.67,21.17,14.75,2501800
2010-02-03,21.07,21.16,20.88,20.92,14.58,2209300
2010-02-04,20.84,20.86,20.23,20.23,14.1,4037200
2010-02-05,20.19,20.23,19.86,20.13,14.03,4800900
2010-02-08,20.15,20.26,20.02,20.04,13.97,3274300
2010-02-09,20.12,20.41,20.09,20.2,14.08,3303600
2010-02-10,20.19,20.24,19.87,20.06,13.98,3504600
2010-02-11,20.08,20.32,19.82,20.29,14.14,3170700
2010-02-12,20.12,20.25,20.01,20.23,14.1,3009500
2010-02-16,20.31,20.62,20.31,20.6,14.36,1541700
2010-02-17,20.64,20.76,20.47,20.55,14.32,2249700
2010-02-18,20.56,20.85,20.53,20.84,14.52,2286800
2010-02-19,20.8,21.14,20.72,21.08,14.69,1938000
2010-02-22,21.16,21.2,21.0,21.04,14.66,2090700
2010-02-23,21.0,21.14,20.88,20.98,14.62,3150800
2010-02-24,21.03,21.13,20.73,21.03,14.66,2907000
2010-02-25,20.82,21.05,20.7,20.97,14.61,3108700
2010-02-26,20.97,21.09,20.81,20.81,14.5,2561700
2010-03-01,20.89,21.14,20.86,21.02,14.65,1524900
2010-03-02,21.11,21.27,21.07,21.22,14.79,1827700
2010-03-03,21.21,21.38,21.15,21.23,14.79,1558200
2010-03-04,21.23,21.24,20.99,21.06,14.68,2696100
2010-03-05,21.08,21.2,21.04,21.19,14.77,1982700
2010-03-08,21.15,21.22,21.08,21.15,14.74,1408200
2010-03-09,21.12,21.25,21.02,21.13,14.72,2193400
2010-03-10,21.11,21.2,20.92,21.11,14.71,2285800
2010-03-11,21.09,21.12,20.94,21.09,14.7,2853800
2010-03-12,21.19,21.26,20.91,21.03,14.66,2119000
2010-03-15,20.99,21.15,20.97,21.15,14.74,1147600
