Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.5,23.08,22.32,22.74,17.71,5112800
2010-01-05,22.74,22.79,22.56,22.77,17.73,3255800
2010-01-06,22.77,22.85,22.5,22.56,17.57,2634300
2010-01-07,22.48,22.71,22.42,22.66,17.65,4508500
2010-01-08,22.61,22.77,22.42,22.58,17.59,2460100
2010-01-11,22.71,23.29,22.58,23.14,18.02,5275200
2010-01-12,22.87,23.48,22.87,23.32,18.16,7099000
2010-01-13,23.4,23.64,23.21,23.58,18.37,4219000
2010-01-14,23.48,23.72,23.32,23.43,18.24,3510200
2010-01-15,23.32,23.43,23.16,23.29,18.14,4374500
2010-01-19,23.27,23.82,23.16,23.77,18.51,6779000
2010-01-20,23.5,23.58,23.0,23.43,18.24,7888600
2010-01-21,24.14,24.98,24.06,24.45,19.04,16789100
2010-01-22,24.22,24.43,23.48,23.64,18.41,8298300
2010-01-25,23.79,24.01,23.35,23.43,18.24,5566500
2010-01-26,23.37,23.56,22.98,23.35,18.18,4119700
2010-01-27,23.27,23.48,22.95,23.43,18.24,6952500
2010-01-28,23.4,23.58,23.14,23.24,18.1,6851900
2010-01-29,23.45,23.48,22.95,22.98,17.89,8472100
2010-02-01,23.06,23.64,23.0,23.64,18.41,5481000
2010-02-02,23.66,24.14,23.53,24.06,18.73,9339500
2010-02-03,23.95,24.16,23.64,23.69,18.45,4979900
2010-02-04,23.66,23.82,22.74,22.79,17.75,9426400
2010-02-05,22.53,22.66,22.0,22.32,17.38,13822700
2010-02-08,22.11,22.42,21.74,22.27,17.34,4862000
2010-02-09,22.48,22.53,21.61,22.08,17.2,10354700
2010-02-10,22.11,22.5,22.06,22.27,17.34,4060400
2010-02-11,22.32,23.21,22.13,23.08,17.98,8799300
2010-02-12,22.66,23.4,22.5,23.11,18.0,5133800
2010-02-16,22.92,23.45,22.9,23.35,18.18,3764400
2010-02-17,23.45,23.79,23.19,23.5,18.3,5204300
2010-02-18,23.53,24.22,23.37,24.16,18.82,6824600
2010-02-19,24.01,24.43,23.95,24.24,18.88,5454800
2010-02-22,24.51,24.53,24.22,24.35,18.96,4756700
2010-02-23,24.3,24.32,23.82,23.98,18.67,3016000
2010-02-24,24.14,24.4,23.95,24.37,18.98,4016000
2010-02-25,24.03,24.53,23.98,24.48,19.06,4453400
2010-02-26,24.48,24.77,24.27,24.69,19.23,4177400
2010-03-01,24.72,25.24,24.72,25.16,19.6,4754600
2010-03-02,25.14,25.3,24.87,25.03,19.49,4394300
2010-03-03,25.3,25.56,25.03,25.09,19.54,3914800
2010-03-04,25.32,25.4,24.77,25.14,19.58,5883200
2010-03-05,25.35,26.09,25.24,26.01,20.25,5264900
2010-03-08,26.09,26.53,26.03,26.11,20.34,5248900
2010-03-09,25.56,26.03,25.48,25.67,19.99,3491000
2010-03-10,25.77,26.01,25.53,25.96,20.21,4677000
2010-03-11,25.8,26.35,25.72,26.35,20.52,4959700
2010-03-12,26.35,26.35,25.85,26.06,20.29,5271700
2010-03-15,25.96,26.48,25.9,26.4,20.56,5439800
2010-03-16,26.64,26.8,26.38,26.59,20.7,4867700
2010-03-17,26.64,26.67,25.96,26.09,20.32,6888700
2010-03-18,26.17,26.17,25.69,25.98,20.23,4593300
2010-03-19,25.22,26.19,25.09,25.22,19.64,6757100
2010-03-22,25.06,26.06,24.9,26.01,20.25,5415300
2010-03-23,26.14,26.67,25.8,26.64,20.75,5664600
2010-03-24,26.46,26.51,25.96,25.98,20.23,3344400
2010-03-25,26.17,26.32,25.35,25.35,19.74,4861400
2010-03-26,25.48,25.93,25.4,25.56,19.9,2746300
2010-03-29,25.43,25.69,25.38,25.64,20.06,2680500
2010-03-30,25.43,25.74,25.38,25.53,19.97,2370600
2010-03-31,25.56,25.77,25.3,25.69,20.1,4413700
2010-04-01,25.85,26.35,25.77,26.32,20.59,3869800
2010-04-05,26.35,27.4,26.09,27.35,21.39,6606100
2010-04-06,27.33,27.33,26.82,27.06,21.17,4457200
2010-04-07,26.85,27.11,26.35,26.77,20.94,4759900
2010-04-08,26.61,27.48,26.19,27.46,21.48,5687500
2010-04-09,27.46,27.67,27.25,27.51,21.52,5549900
2010-04-12,27.69,27.8,27.43,27.64,21.62,2994800
2010-04-13,27.38,27.67,27.35,27.54,21.54,7144500
2010-04-14,27.43,27.98,27.35,27.8,21.75,4770300
2010-04-15,27.8,27.8,27.4,27.64,21.62,4907500
2010-04-16,27.48,27.77,27.06,27.19,21.27,5957200
2010-04-19,27.09,28.38,26.82,28.22,22.08,9450700
2010-04-20,28.3,29.17,27.83,28.3,22.14,7390500
2010-04-21,28.46,28.7,27.8,27.93,21.85,5176600
2010-04-22,27.64,27.85,26.9,27.54,21.54,5323000
2010-04-23,29.78,30.88,28.41,29.83,23.33,30089000
2010-04-26,29.3,30.28,29.25,29.91,23.39,10595700
2010-04-27,29.8,29.8,28.41,28.48,22.28,9471000
2010-04-28,28.67,29.57,28.33,29.25,22.88,9007100
2010-04-29,29.62,29.7,28.96,29.57,23.13,7044200
2010-04-30,29.57,29.64,28.56,28.72,22.47,7185400
